Source,Target,Weight,Sim
1,168,30,0.975
4,56,13,0.9740000000000001
149,244,12,1.0
198,244,4,1.0
1,244,16,1.0
48,244,10,1.0
25,244,17,0.998
232,244,6,0.9359999999999999
185,244,41,1.0
34,244,15,0.9990000000000001
229,244,4,0.932
239,244,15,1.0
238,244,24,1.0
260,244,8,0.9990000000000001
170,244,11,1.0
18,244,38,1.0
196,244,30,1.0
91,244,4,1.0
237,244,8,1.0
233,244,5,1.0
183,244,18,1.0
149,198,3,1.0
1,149,16,1.0
48,149,2,1.0
25,149,9,0.998
149,232,3,0.9359999999999999
185,149,15,1.0
34,149,10,1.0
149,229,4,0.932
149,239,3,1.0
149,238,26,0.9990000000000001
260,149,9,0.9990000000000001
149,170,15,1.0
18,149,17,1.0
149,196,12,1.0
91,149,11,1.0
149,237,11,1.0
149,233,2,1.0
183,149,15,1.0
1,198,3,1.0
48,198,2,1.0
25,198,4,0.998
198,232,3,0.9359999999999999
185,198,2,1.0
34,198,1,1.0
198,229,2,0.932
198,239,5,1.0
198,238,1,0.9990000000000001
260,198,2,0.9990000000000001
170,198,1,1.0
18,198,1,1.0
196,198,5,1.0
91,198,3,1.0
198,237,3,1.0
198,233,1,1.0
183,198,5,1.0
1,48,7,1.0
1,25,20,0.9990000000000001
1,232,5,0.943
1,185,32,1.0
1,34,15,1.0
1,229,9,0.9390000000000001
1,239,5,1.0
1,238,18,0.9990000000000001
1,260,5,1.0
1,170,22,1.0
1,18,22,1.0
1,196,31,1.0
1,91,5,1.0
1,237,16,1.0
1,233,6,1.0
183,1,16,1.0
25,48,6,0.998
48,232,3,0.9359999999999999
185,48,3,1.0
34,48,3,0.9990000000000001
48,229,4,0.932
48,239,2,1.0
48,238,4,0.9990000000000001
260,48,4,1.0
48,170,2,1.0
18,48,11,1.0
48,196,5,1.0
48,91,3,1.0
48,237,7,1.0
48,233,3,1.0
183,48,14,1.0
25,232,11,0.956
185,25,13,0.998
25,34,25,0.9990000000000001
25,229,11,0.953
25,239,8,0.998
25,238,10,0.997
260,25,9,0.9990000000000001
25,170,21,0.998
18,25,22,0.998
25,196,23,0.998
25,91,14,0.998
25,237,17,0.998
25,233,11,0.998
183,25,12,0.998
185,232,6,0.9359999999999999
34,232,3,0.946
229,232,5,0.995
232,239,3,0.9359999999999999
232,238,2,0.935
260,232,4,0.943
170,232,8,0.9359999999999999
18,232,7,0.9359999999999999
196,232,11,0.9359999999999999
91,232,3,0.9359999999999999
232,237,4,0.9359999999999999
232,233,2,0.9359999999999999
183,232,10,0.9359999999999999
185,34,16,1.0
185,229,5,0.932
185,239,12,1.0
185,238,37,0.9990000000000001
185,260,6,0.9990000000000001
185,170,16,1.0
185,18,38,1.0
185,196,36,1.0
185,91,4,1.0
185,237,18,1.0
185,233,4,1.0
183,185,16,1.0
34,229,6,0.943
34,239,7,1.0
34,238,17,0.9990000000000001
260,34,10,1.0
34,170,21,1.0
18,34,16,1.0
34,196,8,1.0
34,91,7,0.9990000000000001
34,237,15,1.0
34,233,5,1.0
183,34,11,1.0
229,239,3,0.932
229,238,3,0.9309999999999999
260,229,1,0.9390000000000001
170,229,3,0.932
18,229,5,0.932
196,229,15,0.932
91,229,4,0.932
229,237,7,0.932
229,233,8,0.932
183,229,15,0.932
238,239,4,0.9990000000000001
260,239,2,0.9990000000000001
170,239,2,1.0
18,239,7,1.0
196,239,17,1.0
91,239,6,1.0
237,239,4,1.0
233,239,3,1.0
183,239,11,1.0
260,238,4,0.998
170,238,16,0.9990000000000001
18,238,25,0.9990000000000001
196,238,12,0.9990000000000001
91,238,5,0.9990000000000001
237,238,19,0.9990000000000001
233,238,4,0.9990000000000001
183,238,8,0.9990000000000001
260,170,8,0.9990000000000001
260,18,10,0.9990000000000001
260,196,4,0.9990000000000001
260,91,6,0.9990000000000001
260,237,5,0.9990000000000001
260,233,4,0.9990000000000001
183,260,12,0.9990000000000001
18,170,17,1.0
170,196,25,1.0
91,170,6,1.0
170,237,24,1.0
170,233,6,1.0
183,170,14,1.0
18,196,20,1.0
18,91,6,1.0
18,237,12,1.0
18,233,7,1.0
183,18,17,1.0
91,196,18,1.0
196,237,22,1.0
196,233,10,1.0
183,196,29,1.0
91,237,5,1.0
91,233,1,1.0
183,91,16,1.0
233,237,5,1.0
183,237,8,1.0
183,233,7,1.0
34,236,20,1.0
236,237,9,1.0
149,236,13,1.0
1,236,25,1.0
25,236,8,0.9990000000000001
229,236,4,0.9359999999999999
1,251,32,1.0
236,251,56,1.0
238,251,36,0.9990000000000001
168,91,5,0.97
185,251,46,1.0
185,236,49,1.0
168,149,14,0.971
168,236,27,0.973
170,251,16,1.0
170,236,15,1.0
236,238,41,0.9990000000000001
183,251,6,1.0
183,236,18,1.0
1,122,8,1.0
168,239,14,0.971
168,196,26,0.971
168,60,24,0.909
168,237,11,0.971
168,185,49,0.971
168,251,36,0.971
168,170,22,0.971
196,236,28,1.0
196,251,20,1.0
122,18,18,1.0
122,185,12,1.0
122,237,10,1.0
236,244,46,1.0
244,251,43,1.0
168,34,4,0.977
168,25,18,0.982
122,251,14,1.0
122,236,8,1.0
18,236,36,1.0
34,251,14,1.0
122,238,15,0.9990000000000001
122,260,3,0.9990000000000001
122,34,8,0.9990000000000001
25,251,7,0.998
122,244,8,1.0
183,168,8,0.971
60,229,3,0.965
239,251,11,1.0
236,239,21,1.0
18,251,25,1.0
168,238,11,0.97
149,251,15,1.0
122,239,4,1.0
122,168,19,0.971
434,362,1,0.9470000000000001
588,654,1,0.991
636,361,1,0.9990000000000001
361,573,1,0.965
411,762,1,0.981
648,668,1,0.982
648,269,1,0.982
269,668,1,1.0
144,295,1,1.0
144,315,1,1.0
282,144,1,0.996
144,220,1,1.0
144,257,1,1.0
137,144,2,1.0
144,227,2,1.0
144,33,2,1.0
144,17,2,1.0
463,144,2,0.9990000000000001
144,267,1,0.9940000000000001
144,3,1,1.0
315,295,1,1.0
282,295,1,0.996
220,295,1,1.0
257,295,1,1.0
137,295,1,1.0
227,295,1,1.0
295,33,1,1.0
295,17,1,1.0
463,295,1,0.9990000000000001
295,267,1,0.9940000000000001
295,3,1,1.0
282,315,1,0.996
315,220,2,1.0
315,257,2,1.0
137,315,2,1.0
315,227,2,1.0
315,33,2,1.0
315,17,2,1.0
463,315,2,0.998
315,267,2,0.9940000000000001
315,3,1,1.0
282,220,1,0.996
282,257,1,0.996
282,137,1,0.996
282,227,1,0.996
282,33,1,0.996
282,17,1,0.996
463,282,1,0.995
282,267,1,0.99
282,3,1,0.996
220,257,2,1.0
137,220,2,1.0
220,227,2,1.0
220,33,2,1.0
220,17,2,1.0
463,220,2,0.9990000000000001
220,267,2,0.9940000000000001
220,3,1,1.0
137,257,2,1.0
227,257,2,1.0
257,33,2,1.0
257,17,2,1.0
463,257,2,0.9990000000000001
257,267,4,0.9940000000000001
257,3,2,1.0
137,227,2,1.0
137,33,2,1.0
137,17,3,1.0
463,137,3,0.9990000000000001
137,267,2,0.9940000000000001
137,3,1,1.0
227,33,2,1.0
227,17,2,1.0
463,227,2,0.9990000000000001
227,267,2,0.9940000000000001
227,3,1,1.0
17,33,2,1.0
463,33,2,0.9990000000000001
267,33,2,0.9940000000000001
3,33,2,1.0
463,17,3,0.9990000000000001
267,17,2,0.9940000000000001
3,17,1,1.0
463,267,2,0.993
463,3,1,0.9990000000000001
267,3,1,0.9940000000000001
3,20,5,1.0
240,20,11,1.0
240,3,7,1.0
205,218,5,1.0
218,3,1,1.0
205,3,2,1.0
171,257,5,1.0
171,3,1,1.0
160,20,1,1.0
205,20,3,1.0
265,20,1,1.0
160,240,6,1.0
205,240,4,1.0
240,265,2,1.0
160,205,3,1.0
160,265,2,1.0
160,3,1,1.0
205,265,3,1.0
265,3,1,1.0
204,309,1,1.0
33,309,2,1.0
3,309,1,1.0
204,33,1,1.0
204,3,1,1.0
3,45,1,1.0
3,129,1,1.0
84,35,1,1.0
84,3,1,1.0
3,35,1,1.0
479,550,1,0.992
4,194,3,0.953
91,236,5,1.0
226,4,2,0.983
226,56,17,0.9890000000000001
168,48,2,0.971
122,170,11,1.0
48,251,1,1.0
232,236,3,0.9390000000000001
187,257,6,1.0
241,257,10,1.0
187,241,15,1.0
241,98,15,1.0
257,98,5,1.0
84,147,4,1.0
465,144,1,0.997
339,465,2,0.996
465,137,1,0.997
465,309,1,0.997
465,463,1,0.9990000000000001
465,17,1,0.997
465,570,1,0.997
465,218,1,0.997
465,444,1,0.997
339,144,1,0.995
144,309,1,1.0
570,144,1,1.0
144,218,1,1.0
144,444,1,1.0
339,137,1,0.995
339,309,1,0.995
339,463,1,0.9940000000000001
339,17,1,0.995
339,570,1,0.995
339,218,1,0.995
339,444,1,0.995
137,309,2,1.0
570,137,1,1.0
137,218,1,1.0
137,444,1,1.0
463,309,3,0.9990000000000001
17,309,2,1.0
570,309,1,1.0
218,309,1,1.0
444,309,1,1.0
463,570,1,0.9990000000000001
463,218,1,0.9990000000000001
463,444,1,0.9990000000000001
570,17,1,1.0
218,17,1,1.0
17,444,1,1.0
570,218,1,1.0
570,444,1,1.0
218,444,1,1.0
321,570,1,0.975
543,669,1,0.943
570,350,1,0.9940000000000001
350,718,1,0.9990000000000001
543,718,1,0.9179999999999999
570,718,1,0.987
462,173,1,0.995
173,529,1,0.997
173,47,1,0.9990000000000001
462,529,1,0.9990000000000001
462,47,1,0.996
529,47,1,0.998
600,746,1,1.0
643,367,1,0.995
711,371,1,0.937
8,255,25,1.0
8,192,22,1.0
192,255,21,1.0
169,26,37,1.0
8,169,19,1.0
169,192,13,1.0
169,255,26,1.0
8,26,20,1.0
192,26,20,1.0
26,255,36,1.0
169,197,14,1.0
197,26,16,1.0
8,197,13,1.0
192,197,9,1.0
197,255,10,1.0
9,38,2,1.0
160,9,6,1.0
136,533,1,0.998
533,102,1,0.998
533,219,1,0.998
533,179,1,1.0
137,533,1,0.998
533,41,1,0.998
533,240,1,0.998
533,424,1,0.998
147,533,1,0.998
533,223,1,0.998
533,9,1,0.998
533,207,1,0.998
136,102,2,1.0
136,219,2,1.0
136,179,2,0.997
136,137,2,1.0
136,41,1,1.0
136,240,5,1.0
136,424,1,1.0
136,147,3,1.0
136,223,2,1.0
136,9,2,1.0
136,207,2,1.0
219,102,1,1.0
179,102,1,0.997
137,102,2,1.0
41,102,1,1.0
240,102,2,1.0
102,424,1,1.0
147,102,1,1.0
223,102,2,1.0
9,102,1,1.0
207,102,1,1.0
179,219,1,0.997
137,219,1,1.0
219,41,1,1.0
219,240,1,1.0
219,424,1,1.0
147,219,1,1.0
219,223,1,1.0
219,9,1,1.0
207,219,1,1.0
137,179,1,0.997
179,41,1,0.997
179,240,4,0.997
179,424,1,0.997
147,179,1,0.997
179,223,1,0.997
179,9,2,0.997
179,207,2,0.997
137,41,1,1.0
137,240,2,1.0
137,424,1,1.0
137,147,1,1.0
137,223,2,1.0
137,9,1,1.0
137,207,1,1.0
240,41,1,1.0
41,424,1,1.0
147,41,1,1.0
223,41,1,1.0
9,41,1,1.0
207,41,1,1.0
240,424,1,1.0
147,240,4,1.0
223,240,4,1.0
240,9,3,1.0
207,240,3,1.0
147,424,1,1.0
223,424,1,1.0
9,424,1,1.0
207,424,1,1.0
147,223,1,1.0
147,9,1,1.0
147,207,2,1.0
223,9,4,1.0
207,223,4,1.0
207,9,4,1.0
144,9,4,1.0
9,20,1,1.0
9,35,1,1.0
220,9,1,1.0
9,114,1,1.0
220,114,1,1.0
30,38,1,1.0
9,30,1,1.0
265,9,1,1.0
179,250,4,0.997
250,9,1,1.0
9,19,1,1.0
9,42,1,0.998
160,207,2,1.0
207,42,1,0.998
160,42,1,0.998
9,309,1,1.0
695,687,1,0.965
306,615,1,0.915
138,257,6,1.0
257,10,2,1.0
138,10,2,1.0
138,98,7,1.0
10,98,5,1.0
241,10,3,1.0
187,10,3,1.0
267,57,1,0.9940000000000001
10,57,1,1.0
267,10,1,0.9940000000000001
187,98,14,1.0
84,187,2,1.0
147,187,7,1.0
84,98,2,1.0
147,98,8,1.0
84,241,2,1.0
84,10,1,1.0
147,241,11,1.0
147,10,3,1.0
10,87,2,1.0
160,10,2,1.0
160,53,1,1.0
10,53,1,1.0
207,53,1,1.0
207,10,1,1.0
146,11,1,0.9309999999999999
513,268,1,0.9790000000000001
563,761,1,0.997
16,82,233,1.0
293,87,1,0.978
293,240,1,0.978
293,407,1,0.978
293,463,1,0.976
293,267,1,0.972
293,136,1,0.978
293,102,1,0.978
293,129,1,0.978
293,338,1,0.978
293,572,1,0.9690000000000001
293,227,1,0.978
293,24,1,0.978
293,17,1,0.978
293,77,1,0.978
293,241,1,0.978
293,19,1,0.978
293,257,1,0.978
293,36,1,0.978
293,315,1,0.9790000000000001
293,220,1,0.978
293,33,1,0.978
293,699,1,0.9740000000000001
293,321,1,0.9540000000000001
293,223,1,0.978
293,310,1,0.978
293,138,1,0.978
293,137,1,0.978
293,309,1,0.978
240,87,1,1.0
407,87,1,1.0
463,87,1,0.9990000000000001
267,87,1,0.9940000000000001
136,87,1,1.0
87,102,1,1.0
87,129,1,1.0
338,87,1,1.0
572,87,1,0.991
227,87,1,1.0
24,87,1,1.0
17,87,1,1.0
77,87,1,1.0
241,87,1,1.0
19,87,1,1.0
257,87,1,1.0
36,87,1,1.0
315,87,1,1.0
220,87,1,1.0
33,87,1,1.0
699,87,1,0.996
321,87,1,0.975
223,87,1,1.0
310,87,1,1.0
138,87,1,1.0
137,87,1,1.0
87,309,1,1.0
407,240,1,1.0
463,240,1,0.9990000000000001
240,267,2,0.9940000000000001
240,129,1,1.0
338,240,1,1.0
572,240,1,0.991
227,240,1,1.0
240,24,1,1.0
240,17,1,1.0
240,77,1,1.0
240,241,1,1.0
240,19,1,1.0
240,257,2,1.0
240,36,1,1.0
315,240,1,1.0
220,240,2,1.0
240,33,2,1.0
699,240,1,0.996
321,240,1,0.975
240,310,1,1.0
138,240,1,1.0
240,309,1,1.0
90,155,1,0.9740000000000001
463,407,1,0.9990000000000001
407,267,1,0.9940000000000001
136,407,1,1.0
407,102,1,1.0
407,129,1,1.0
338,407,1,1.0
572,407,1,0.991
407,227,1,1.0
407,24,1,1.0
407,17,1,1.0
407,77,1,1.0
407,241,1,1.0
407,19,1,1.0
407,257,1,1.0
407,36,1,1.0
315,407,1,1.0
407,220,1,1.0
407,33,1,1.0
699,407,1,0.996
321,407,1,0.975
407,223,1,1.0
407,310,1,1.0
138,407,1,1.0
137,407,1,1.0
407,309,1,1.0
463,136,1,0.9990000000000001
463,102,1,0.9990000000000001
463,129,1,0.9990000000000001
463,338,1,0.9990000000000001
463,572,1,0.9890000000000001
463,24,1,0.9990000000000001
463,77,1,0.9990000000000001
463,241,1,0.9990000000000001
463,19,1,0.9990000000000001
463,36,1,0.9990000000000001
699,463,1,0.9990000000000001
321,463,1,0.986
463,223,1,0.9990000000000001
463,310,1,0.9990000000000001
463,138,1,0.9990000000000001
136,267,1,0.9940000000000001
267,102,1,0.9940000000000001
267,129,1,0.9940000000000001
338,267,1,0.9940000000000001
572,267,1,0.985
267,24,1,0.9940000000000001
267,77,1,0.9940000000000001
241,267,2,0.9940000000000001
267,19,1,0.9940000000000001
267,36,1,0.9940000000000001
699,267,1,0.99
321,267,1,0.9690000000000001
223,267,1,0.9940000000000001
267,310,1,0.9940000000000001
138,267,9,0.9940000000000001
